>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_059750719.1 Aspergillus niger uncharacterized protein (An12g02000), partial mRNA
>XM_059750720.1 Aspergillus niger uncharacterized protein (An12g02010), partial mRNA
>XM_059750721.1 Aspergillus niger uncharacterized protein (An12g02020), partial mRNA
>XM_059750722.1 Aspergillus niger uncharacterized protein (An12g02030), partial mRNA
>XM_059750723.1 Aspergillus niger uncharacterized protein (An12g02050), partial mRNA
>XM_059750724.1 Aspergillus niger uncharacterized protein (An12g02080), partial mRNA
>XM_059750725.1 Aspergillus niger uncharacterized protein (An12g02090), partial mRNA
>XM_059750726.1 Aspergillus niger uncharacterized protein (An01g09790), partial mRNA
>XM_059750727.1 Aspergillus niger uncharacterized protein (An12g02110), partial mRNA
>XM_059750728.1 Aspergillus niger uncharacterized protein (An12g02130), partial mRNA
>XM_059750729.1 Aspergillus niger uncharacterized protein (An12g02150), partial mRNA
>XM_059750730.1 Aspergillus niger hypothetical protein (An12g02160), partial mRNA
>XM_059750731.1 Aspergillus niger hypothetical protein [truncated ORF] (An12g02170), partial mRNA
>XM_059750732.1 Aspergillus niger hypothetical protein (An12g02175), partial mRNA
>XM_059750733.1 Aspergillus niger uncharacterized protein (An12g02180), partial mRNA
>XM_059750734.1 Aspergillus niger uncharacterized protein (An12g02190), partial mRNA
>XM_059750735.1 Aspergillus niger uncharacterized protein (An12g02210), partial mRNA
>XM_059750736.1 Aspergillus niger hypothetical protein (An12g02250), partial mRNA
>XM_059750737.1 Aspergillus niger uncharacterized protein (An12g02310), partial mRNA
>XM_059750738.1 Aspergillus niger uncharacterized protein (An12g02320), partial mRNA
>XM_059750739.1 Aspergillus niger uncharacterized protein (An12g02330), partial mRNA
>XM_059750740.1 Aspergillus niger uncharacterized protein (An12g02350), partial mRNA
>XM_059750741.1 Aspergillus niger uncharacterized protein (An12g02370), partial mRNA
>XM_059750742.1 Aspergillus niger uncharacterized protein (An12g02390), partial mRNA
>XM_059750743.1 Aspergillus niger uncharacterized protein (An12g02440), partial mRNA
>XM_059750744.1 Aspergillus niger uncharacterized protein (An01g09820), partial mRNA
>XM_059750745.1 Aspergillus niger uncharacterized protein (An12g02450), partial mRNA
>XM_059750746.1 Aspergillus niger uncharacterized protein (An12g02490), partial mRNA
>XM_059750747.1 Aspergillus niger hypothetical protein (An12g02510), partial mRNA
>XM_059750748.1 Aspergillus niger uncharacterized protein (An12g02520), partial mRNA
>XM_059750749.1 Aspergillus niger uncharacterized protein (An12g02560), partial mRNA
>XM_059750750.1 Aspergillus niger hypothetical protein (An12g02580), partial mRNA
>XM_059750751.1 Aspergillus niger uncharacterized protein (An12g02590), partial mRNA
>XM_059750752.1 Aspergillus niger uncharacterized protein (An12g02600), partial mRNA
>XM_059750753.1 Aspergillus niger uncharacterized protein (An12g02620), partial mRNA
>XM_059750754.1 Aspergillus niger uncharacterized protein (An12g02630), partial mRNA
>XM_059750755.1 Aspergillus niger hypothetical protein (An12g02660), partial mRNA
>XM_059750756.1 Aspergillus niger uncharacterized protein (An12g02670), partial mRNA
>XM_059750757.1 Aspergillus niger uncharacterized protein (An01g01040), partial mRNA
>XM_059750758.1 Aspergillus niger uncharacterized protein (An12g02690), partial mRNA
>XM_059750759.1 Aspergillus niger uncharacterized protein (An12g02710), partial mRNA
>XM_059750760.1 Aspergillus niger uncharacterized protein (An12g02750), partial mRNA
>XM_059750761.1 Aspergillus niger uncharacterized protein (An12g02780), partial mRNA
>XM_059750762.1 Aspergillus niger uncharacterized protein (An12g02840), partial mRNA
>XM_059750763.1 Aspergillus niger uncharacterized protein (An12g02860), partial mRNA
>XM_059750764.1 Aspergillus niger hypothetical protein (An12g02870), partial mRNA
>XM_059750765.1 Aspergillus niger uncharacterized protein (An12g02890), partial mRNA
>XM_059750766.1 Aspergillus niger uncharacterized protein (An12g02900), partial mRNA
>XM_059750767.1 Aspergillus niger hypothetical protein (An12g02910), partial mRNA
>XM_059750768.1 Aspergillus niger hypothetical protein (An12g02940), partial mRNA
>XM_059750769.1 Aspergillus niger hypothetical protein (An12g02960), partial mRNA
>XM_059750770.1 Aspergillus niger uncharacterized protein (An01g09870), partial mRNA
>XM_059750771.1 Aspergillus niger hypothetical protein (An12g03030), partial mRNA
>XM_059750772.1 Aspergillus niger uncharacterized protein (An12g03070), partial mRNA
>XM_059750773.1 Aspergillus niger hypothetical protein (An12g03080), partial mRNA
>XM_059750774.1 Aspergillus niger hypothetical protein (An12g03090), partial mRNA
>XM_059750775.1 Aspergillus niger uncharacterized protein (An12g03100), partial mRNA
>XM_059750776.1 Aspergillus niger uncharacterized protein (An12g03150), partial mRNA
>XM_059750777.1 Aspergillus niger hypothetical protein (An12g03160), partial mRNA
>XM_059750778.1 Aspergillus niger uncharacterized protein (An12g03180), partial mRNA
>XM_059750779.1 Aspergillus niger uncharacterized protein (An12g03190), partial mRNA
>XM_059750780.1 Aspergillus niger uncharacterized protein (An12g03200), partial mRNA
>XM_059750781.1 Aspergillus niger uncharacterized protein (An12g03230), partial mRNA
>XM_059750782.1 Aspergillus niger uncharacterized protein (An12g03240), partial mRNA
>XM_059750783.1 Aspergillus niger hypothetical protein (An12g03280), partial mRNA
>XM_059750784.1 Aspergillus niger hypothetical protein (An12g03310), partial mRNA
>XM_059750785.1 Aspergillus niger hypothetical protein (An12g03320), partial mRNA
>XM_059750786.1 Aspergillus niger uncharacterized protein (An12g03330), partial mRNA
>XM_059750787.1 Aspergillus niger hypothetical protein (An12g03340), partial mRNA
>XM_059750788.1 Aspergillus niger uncharacterized protein (An12g03350), partial mRNA
>XM_059750789.1 Aspergillus niger hypothetical protein (An12g03360), partial mRNA
>XM_059750790.1 Aspergillus niger uncharacterized protein (An12g03370), partial mRNA
>XM_059750791.1 Aspergillus niger uncharacterized protein (An12g03380), partial mRNA
>XM_059750792.1 Aspergillus niger hypothetical protein (An12g03390), partial mRNA
>XM_059750793.1 Aspergillus niger uncharacterized protein (An01g09910), partial mRNA
>XM_059750794.1 Aspergillus niger uncharacterized protein (An12g03400), partial mRNA
>XM_059750795.1 Aspergillus niger hypothetical protein (An12g03410), partial mRNA
>XM_059750796.1 Aspergillus niger uncharacterized protein (An12g03420), partial mRNA
>XM_059750797.1 Aspergillus niger hypothetical protein (An12g03470), partial mRNA
>XM_059750798.1 Aspergillus niger uncharacterized protein (An12g03480), partial mRNA
>XM_059750799.1 Aspergillus niger uncharacterized protein (An12g03490), partial mRNA
>XM_059750800.1 Aspergillus niger uncharacterized protein (An12g03510), partial mRNA
>XM_059750801.1 Aspergillus niger uncharacterized protein (An01g09920), partial mRNA
>XM_059750802.1 Aspergillus niger hypothetical protein (An12g03520), partial mRNA
>XM_059750803.1 Aspergillus niger uncharacterized protein (An12g03530), partial mRNA
>XM_059750804.1 Aspergillus niger hypothetical protein (An12g03540), partial mRNA
>XM_059750805.1 Aspergillus niger hypothetical protein (An12g03560), partial mRNA
>XM_059750806.1 Aspergillus niger hypothetical protein (An12g03590), partial mRNA
>XM_059750807.1 Aspergillus niger uncharacterized protein (An12g03600), partial mRNA
>XM_059750808.1 Aspergillus niger hypothetical protein (An12g03610), partial mRNA
>XM_059750809.1 Aspergillus niger uncharacterized protein (An12g03620), partial mRNA
>XM_059750810.1 Aspergillus niger hypothetical protein [truncated ORF] (An12g03640), partial mRNA
>XM_059750811.1 Aspergillus niger uncharacterized protein (An12g03650), partial mRNA
>XM_059750812.1 Aspergillus niger uncharacterized protein (An12g03670), partial mRNA
>XM_059750813.1 Aspergillus niger hypothetical protein [putative sequencing error] (An12g03680), partial mRNA
>XM_059750814.1 Aspergillus niger hypothetical protein (An12g03690), partial mRNA
>XM_059750815.1 Aspergillus niger uncharacterized protein (An12g03700), partial mRNA
>XM_059750816.1 Aspergillus niger uncharacterized protein (An12g03720), partial mRNA
>XM_059750817.1 Aspergillus niger uncharacterized protein (An12g03730), partial mRNA
>XM_059750818.1 Aspergillus niger uncharacterized protein (An12g03740), partial mRNA
>XM_059750819.1 Aspergillus niger hypothetical protein (An12g03750), partial mRNA
>XM_059750820.1 Aspergillus niger uncharacterized protein (An12g03760), partial mRNA
>XM_059750821.1 Aspergillus niger uncharacterized protein (An12g03780), partial mRNA
>XM_059750822.1 Aspergillus niger uncharacterized protein (An12g03790), partial mRNA
>XM_059750823.1 Aspergillus niger uncharacterized protein (An12g03800), partial mRNA
>XM_059750824.1 Aspergillus niger hypothetical protein (An12g03810), partial mRNA
>XM_059750825.1 Aspergillus niger hypothetical protein (An12g03820), partial mRNA
>XM_059750826.1 Aspergillus niger hypothetical protein (An12g03840), partial mRNA
>XM_059750827.1 Aspergillus niger uncharacterized protein (An12g03850), partial mRNA
>XM_059750828.1 Aspergillus niger uncharacterized protein (An12g03860), partial mRNA
>XM_059750829.1 Aspergillus niger uncharacterized protein (An12g03900), partial mRNA
>XM_059750830.1 Aspergillus niger uncharacterized protein (An12g03910), partial mRNA
>XM_059750831.1 Aspergillus niger uncharacterized protein (An12g04000), partial mRNA
>XM_059750832.1 Aspergillus niger uncharacterized protein (An12g04010), partial mRNA
>XM_059750833.1 Aspergillus niger uncharacterized protein (An01g09970), partial mRNA
>XM_059750834.1 Aspergillus niger hypothetical protein (An12g04040), partial mRNA
>XM_059750835.1 Aspergillus niger hypothetical protein (An12g04080), partial mRNA
>XM_059750836.1 Aspergillus niger hypothetical protein (An12g04130), partial mRNA
>XM_059750837.1 Aspergillus niger hypothetical protein (An12g04150), partial mRNA
>XM_059750838.1 Aspergillus niger hypothetical protein (An12g04160), partial mRNA
>XM_059750839.1 Aspergillus niger hypothetical protein (An12g04200), partial mRNA
>XM_059750840.1 Aspergillus niger hypothetical protein (An12g04230), partial mRNA
>XM_059750841.1 Aspergillus niger hypothetical protein (An12g04240), partial mRNA
>XM_059750842.1 Aspergillus niger uncharacterized protein (An12g04250), partial mRNA
>XM_059750843.1 Aspergillus niger uncharacterized protein (An12g04280), partial mRNA
>XM_059750844.1 Aspergillus niger uncharacterized protein (An12g04320), partial mRNA
>XM_059750845.1 Aspergillus niger uncharacterized protein (An12g04330), partial mRNA
>XM_059750846.1 Aspergillus niger uncharacterized protein (An12g04360), partial mRNA
>XM_059750847.1 Aspergillus niger uncharacterized protein (An12g04370), partial mRNA
>XM_059750848.1 Aspergillus niger uncharacterized protein (An12g04410), partial mRNA
>XM_059750849.1 Aspergillus niger hypothetical protein (An12g04430), partial mRNA
>XM_059750850.1 Aspergillus niger hypothetical protein (An12g04440), partial mRNA
>XM_059750851.1 Aspergillus niger uncharacterized protein (An12g04460), partial mRNA
>XM_059750852.1 Aspergillus niger uncharacterized protein (An12g04470), partial mRNA
>XM_059750853.1 Aspergillus niger hypothetical protein (An01g10020), partial mRNA
>XM_059750854.1 Aspergillus niger uncharacterized protein (An12g04530), partial mRNA
>XM_059750855.1 Aspergillus niger uncharacterized protein (An12g04540), partial mRNA
>XM_059750856.1 Aspergillus niger hypothetical protein (An12g04550), partial mRNA
>XM_059750857.1 Aspergillus niger uncharacterized protein (An01g10030), partial mRNA
>XM_059750858.1 Aspergillus niger hypothetical protein (An12g04580), partial mRNA
>XM_059750859.1 Aspergillus niger uncharacterized protein (An12g04600), partial mRNA
>XM_059750860.1 Aspergillus niger uncharacterized protein (An12g04620), partial mRNA
>XM_059750861.1 Aspergillus niger uncharacterized protein (An12g04655), partial mRNA
>XM_059750862.1 Aspergillus niger hypothetical protein (An01g10040), partial mRNA
>XM_059750863.1 Aspergillus niger uncharacterized protein (An12g04680), partial mRNA
>XM_059750864.1 Aspergillus niger uncharacterized protein (An12g04690), partial mRNA
>XM_059750865.1 Aspergillus niger uncharacterized protein (An12g04720), partial mRNA
>XM_059750866.1 Aspergillus niger uncharacterized protein (An12g04730), partial mRNA
>XM_059750867.1 Aspergillus niger uncharacterized protein (An12g04770), partial mRNA
>XM_059750868.1 Aspergillus niger uncharacterized protein (An12g04810), partial mRNA
>XM_059750869.1 Aspergillus niger uncharacterized protein (An12g04820), partial mRNA
>XM_059750870.1 Aspergillus niger uncharacterized protein (An12g04830), partial mRNA
>XM_059750871.1 Aspergillus niger uncharacterized protein (An12g04840), partial mRNA
>XM_059750872.1 Aspergillus niger uncharacterized protein (An12g04850), partial mRNA
>XM_059750873.1 Aspergillus niger uncharacterized protein (An12g04900), partial mRNA
>XM_059750874.1 Aspergillus niger uncharacterized protein (An12g04950), partial mRNA
>XM_059750875.1 Aspergillus niger uncharacterized protein (An12g04960), partial mRNA
>XM_059750876.1 Aspergillus niger uncharacterized protein (An12g04970), partial mRNA
>XM_059750877.1 Aspergillus niger hypothetical protein (An12g04975), partial mRNA
>XM_059750878.1 Aspergillus niger uncharacterized protein (An12g04980), partial mRNA
>XM_059750879.1 Aspergillus niger uncharacterized protein (An12g05020), partial mRNA
>XM_059750880.1 Aspergillus niger uncharacterized protein (An12g05040), partial mRNA
>XM_059750881.1 Aspergillus niger hypothetical protein (An01g10080), partial mRNA
>XM_059750882.1 Aspergillus niger uncharacterized protein (An12g05100), partial mRNA
>XM_059750883.1 Aspergillus niger uncharacterized protein (An12g05110), partial mRNA
>XM_059750884.1 Aspergillus niger uncharacterized protein (An12g05120), partial mRNA
>XM_059750885.1 Aspergillus niger uncharacterized protein (An12g05140), partial mRNA
>XM_059750886.1 Aspergillus niger uncharacterized protein (An12g05150), partial mRNA
>XM_059750887.1 Aspergillus niger hypothetical protein (An12g05160), partial mRNA
>XM_059750888.1 Aspergillus niger hypothetical protein (An01g10090), partial mRNA
>XM_059750889.1 Aspergillus niger uncharacterized protein (An12g05190), partial mRNA
>XM_059750890.1 Aspergillus niger uncharacterized protein (An12g05210), partial mRNA
>XM_059750891.1 Aspergillus niger uncharacterized protein (An12g05220), partial mRNA
>XM_059750892.1 Aspergillus niger hypothetical protein (An12g05230), partial mRNA
>XM_059750893.1 Aspergillus niger uncharacterized protein (An12g05250), partial mRNA
>XM_059750894.1 Aspergillus niger uncharacterized protein (An12g05290), partial mRNA
>XM_059750895.1 Aspergillus niger hypothetical protein (An12g05300), partial mRNA
>XM_059750896.1 Aspergillus niger uncharacterized protein (An12g05310), partial mRNA
>XM_059750897.1 Aspergillus niger uncharacterized protein (An12g05330), partial mRNA
>XM_059750898.1 Aspergillus niger hypothetical protein (An12g05350), partial mRNA
>XM_059750899.1 Aspergillus niger uncharacterized protein (An12g05360), partial mRNA
>XM_059750900.1 Aspergillus niger hypothetical protein (An01g10110), partial mRNA
>XM_059750901.1 Aspergillus niger uncharacterized protein (An12g05380), partial mRNA
>XM_059750902.1 Aspergillus niger uncharacterized protein (An12g05390), partial mRNA
