>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_749746.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07720), partial mRNA
>XM_749747.1 Aspergillus fumigatus Af293 nucleolin protein Nsr1, putative (AFUA_3G07710), partial mRNA
>XM_749748.1 Aspergillus fumigatus Af293 dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase ALG6 (AFUA_3G07700), partial mRNA
>XM_749749.1 Aspergillus fumigatus Af293 copper metallochaperone COX17 (AFUA_3G07690), partial mRNA
>XM_749750.1 Aspergillus fumigatus Af293 GTPase-activating protein RNA1 (AFUA_3G07680), partial mRNA
>XM_749751.1 Aspergillus fumigatus Af293 transcription elongation factor DST1 (AFUA_3G07670), partial mRNA
>XM_749752.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07660), partial mRNA
>XM_749753.1 Aspergillus fumigatus Af293 pectin methylesterase, putative (AFUA_3G07650), partial mRNA
>XM_749754.1 Aspergillus fumigatus Af293 plasma membrane H+-ATPase Pma1 (AFUA_3G07640), partial mRNA
>XM_749755.1 Aspergillus fumigatus Af293 metallo-beta-lactamase superfamily protein (AFUA_3G07630), partial mRNA
>XM_749756.1 Aspergillus fumigatus Af293 ABC1 domain protein (AFUA_3G07620), partial mRNA
>XM_749757.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07610), partial mRNA
>XM_749758.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07600), partial mRNA
>XM_749759.1 Aspergillus fumigatus Af293 t-SNARE syntaxin (AFUA_3G07590), partial mRNA
>XM_749760.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07580), partial mRNA
>XM_749761.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07570), partial mRNA
>XM_749762.1 Aspergillus fumigatus Af293 enoyl-CoA hydratase/isomerase family protein (AFUA_3G07560), partial mRNA
>XM_749763.1 Aspergillus fumigatus Af293 DUF1275 domain protein (AFUA_3G07550), partial mRNA
>XM_749764.1 Aspergillus fumigatus Af293 potassium channel, putative (AFUA_3G07540), partial mRNA
>XM_749765.1 Aspergillus fumigatus Af293 pH signal transduction protein PalI, putative (AFUA_3G07530), partial mRNA
>XM_749766.1 Aspergillus fumigatus Af293 exo-beta-1,3-glucanase, putative (AFUA_3G07520), partial mRNA
>XM_749767.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07510), partial mRNA
>XM_749768.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07490), partial mRNA
>XM_749769.2 Aspergillus fumigatus Af293 G-patch domain protein, putative (AFUA_3G07480), partial mRNA
>XM_749770.2 Aspergillus fumigatus Af293 NACHT and WD domain protein (AFUA_3G07460), partial mRNA
>XM_749772.1 Aspergillus fumigatus Af293 DRAP deaminase, putative (AFUA_3G07440), partial mRNA
>XM_749773.1 Aspergillus fumigatus Af293 peptidyl-prolyl cis-trans isomerase/cyclophilin, putative (AFUA_3G07430), partial mRNA
>XM_749774.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07420), partial mRNA
>XM_749775.1 Aspergillus fumigatus Af293 isoamyl alcohol oxidase (AFUA_3G07410), partial mRNA
>XM_749776.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07400), partial mRNA
>XM_749777.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07390), partial mRNA
>XM_749778.1 Aspergillus fumigatus Af293 oligo-1,6-glucosidase (AFUA_3G07380), partial mRNA
>XM_749779.1 Aspergillus fumigatus Af293 molybdopterin synthase large subunit CnxH (AFUA_3G07370), partial mRNA
>XM_749780.1 Aspergillus fumigatus Af293 mitochondrial metallochaperone Sco1, putative (AFUA_3G07360), partial mRNA
>XM_749781.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07350), partial mRNA
>XM_749782.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07340), partial mRNA
>XM_749783.1 Aspergillus fumigatus Af293 essential protein Yae1, putative (AFUA_3G07330), partial mRNA
>XM_749784.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07310), partial mRNA
>XM_749785.1 Aspergillus fumigatus Af293 ABC multidrug transporter, putative (AFUA_3G07300), partial mRNA
>XM_749786.1 Aspergillus fumigatus Af293 SD08430p (AFUA_3G07290), partial mRNA
>XM_749787.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07280), partial mRNA
>XM_749788.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07270), partial mRNA
>XM_749789.1 Aspergillus fumigatus Af293 esterase/lipase, putative (AFUA_3G07260), partial mRNA
>XM_749790.1 Aspergillus fumigatus Af293 multidomain presynaptic cytomatrix related protein (AFUA_3G07240), partial mRNA
>XM_749791.1 Aspergillus fumigatus Af293 phosphopantothenate--cysteine ligase CAB2 (AFUA_3G07230), partial mRNA
>XM_749792.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07220), partial mRNA
>XM_749793.1 Aspergillus fumigatus Af293 polysaccharide deacetylase, putative (AFUA_3G07210), partial mRNA
>XM_749794.1 Aspergillus fumigatus Af293 DEAD/DEAH box RNA helicase, putative (AFUA_3G07200), partial mRNA
>XM_749795.1 Aspergillus fumigatus Af293 pantothenate kinase (AFUA_3G07180), partial mRNA
>XM_749796.1 Aspergillus fumigatus Af293 phosphatidylinositol N-acetylglucosaminyltransferase (AFUA_3G07170), partial mRNA
>XM_749798.1 Aspergillus fumigatus Af293 succinate-semialdehyde dehydrogenase, putative (AFUA_3G07150), partial mRNA
>XM_749799.1 Aspergillus fumigatus Af293 extracellular developmental signal biosynthesis protein FluG (AFUA_3G07140), partial mRNA
>XM_749800.1 Aspergillus fumigatus Af293 sensor histidine kinase/response regulator, putative (AFUA_3G07130), partial mRNA
>XM_749801.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_3G07120), partial mRNA
>XM_749802.2 Aspergillus fumigatus Af293 class III chitinase, putative (AFUA_3G07110), partial mRNA
>XM_749803.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07100), partial mRNA
>XM_749804.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G07090), partial mRNA
>XM_749805.1 Aspergillus fumigatus Af293 UPF0016 domain protein, putative (AFUA_3G07080), partial mRNA
>XM_749806.2 Aspergillus fumigatus Af293 MYB DNA-binding domain protein (AFUA_3G07070), partial mRNA
>XM_749807.1 Aspergillus fumigatus Af293 WSC domain protein, putative (AFUA_3G07050), partial mRNA
>XM_749808.2 Aspergillus fumigatus Af293 Gly-Xaa carboxypeptidase (AFUA_3G07040), partial mRNA
>XM_749809.1 Aspergillus fumigatus Af293 glutaminase GtaA (AFUA_3G07030), partial mRNA
>XM_749810.1 Aspergillus fumigatus Af293 annexin ANXC4 (AFUA_3G07020), partial mRNA
>XM_749811.1 Aspergillus fumigatus Af293 septin (AFUA_3G07015), partial mRNA
>XM_749812.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G07010), partial mRNA
>XM_749813.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07000), partial mRNA
>XM_749814.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06990), partial mRNA
>XM_749815.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06980), partial mRNA
>XM_749816.1 Aspergillus fumigatus Af293 40S ribosomal uS4 domain-containing protein (AFUA_3G06970), partial mRNA
>XM_749817.1 Aspergillus fumigatus Af293 60S ribosomal protein eL21 (AFUA_3G06960), partial mRNA
>XM_749818.1 Aspergillus fumigatus Af293 mitochondrial carrier protein (Rim2), putative (AFUA_3G06950), partial mRNA
>XM_749819.1 Aspergillus fumigatus Af293 C2H2 zinc finger domain protein, putative (AFUA_3G06940), partial mRNA
>XM_749822.2 Aspergillus fumigatus Af293 WD repeat protein (AFUA_3G06910), partial mRNA
>XM_749823.2 Aspergillus fumigatus Af293 translocon subunit SSS1 (AFUA_3G06901), partial mRNA
>XM_749824.1 Aspergillus fumigatus Af293 RRM domain protein (AFUA_3G06890), partial mRNA
>XM_749825.2 Aspergillus fumigatus Af293 sorting nexin Snx3, putative (AFUA_3G06880), partial mRNA
>XM_749826.1 Aspergillus fumigatus Af293 MYB DNA-binding domain protein (AFUA_3G06870), partial mRNA
>XM_749827.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G06860), partial mRNA
>XM_749828.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06850), partial mRNA
>XM_749829.1 Aspergillus fumigatus Af293 40S ribosomal protein eS4 (AFUA_3G06840), partial mRNA
>XM_749830.1 Aspergillus fumigatus Af293 aspartate-semialdehyde dehydrogenase (AFUA_3G06830), partial mRNA
>XM_749831.1 Aspergillus fumigatus Af293 oxidoreductase, FAD-binding (AFUA_3G06820), partial mRNA
>XM_749833.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06800), partial mRNA
>XM_749834.2 Aspergillus fumigatus Af293 RNA-directed RNA polymerase (Sad-1), putative (AFUA_3G06790), partial mRNA
>XM_749835.1 Aspergillus fumigatus Af293 DNA-directed DNA polymerase zeta catalytic subunit REV3 (AFUA_3G06780), partial mRNA
>XM_749836.2 Aspergillus fumigatus Af293 mRNA splicing protein SLU7 (AFUA_3G06770), partial mRNA
>XM_749837.1 Aspergillus fumigatus Af293 60S ribosomal eL37 domain-containing protein (AFUA_3G06760), partial mRNA
>XM_749838.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06750), partial mRNA
>XM_749839.2 Aspergillus fumigatus Af293 C6 transcription factor (Gal4), putative (AFUA_3G06740), partial mRNA
>XM_749840.1 Aspergillus fumigatus Af293 MFS sugar transporter, putative (AFUA_3G06730), partial mRNA
>XM_749841.1 Aspergillus fumigatus Af293 ThiJ/PfpI family protein (AFUA_3G06720), partial mRNA
>XM_749842.1 Aspergillus fumigatus Af293 ubiquitin thiolesterase (OtuB1), putative (AFUA_3G06710), partial mRNA
>XM_749843.1 Aspergillus fumigatus Af293 COP9 signalosome subunit 2 (CsnB), putative (AFUA_3G06700), partial mRNA
>XM_749844.1 Aspergillus fumigatus Af293 Rho family GTPase RHO3 (AFUA_3G06690), partial mRNA
>XM_749845.1 Aspergillus fumigatus Af293 lipoyl(octanoyl) transferase LIP2 (AFUA_3G06680), partial mRNA
>XM_749846.1 Aspergillus fumigatus Af293 pyridoxamine phosphate oxidase, putative (AFUA_3G06670), partial mRNA
>XM_749847.1 Aspergillus fumigatus Af293 NIPSNAP family protein (AFUA_3G06660), partial mRNA
>XM_749848.1 Aspergillus fumigatus Af293 aminoalcoholphosphotransferase (AFUA_3G06650), partial mRNA
>XM_749849.1 Aspergillus fumigatus Af293 40S ribosomal protein eS27 (AFUA_3G06640), partial mRNA
>XM_749850.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06630), partial mRNA
>XM_749851.1 Aspergillus fumigatus Af293 dihydrofolate reductase (AFUA_3G06620), partial mRNA
>XM_749852.1 Aspergillus fumigatus Af293 proteasome regulatory particle lid subunit RPN5 (AFUA_3G06610), partial mRNA
>XM_749853.1 Aspergillus fumigatus Af293 siroheme synthase, putative (AFUA_3G06600), partial mRNA
>XM_749855.1 Aspergillus fumigatus Af293 ribosomal assembly complex component Ipi3, putative (AFUA_3G06580), partial mRNA
>XM_749856.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G06570), partial mRNA
>XM_749857.1 Aspergillus fumigatus Af293 lipoate synthase (AFUA_3G06560), partial mRNA
>XM_749858.1 Aspergillus fumigatus Af293 phosphoserine phosphatase (AFUA_3G06550), partial mRNA
>XM_749859.1 Aspergillus fumigatus Af293 phosphoadenylyl-sulfate reductase (thioredoxin) (AFUA_3G06540), partial mRNA
>XM_749860.1 Aspergillus fumigatus Af293 sulfate adenylyltransferase (AFUA_3G06530), partial mRNA
>XM_749861.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06520), partial mRNA
>XM_749862.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06510), partial mRNA
>XM_749863.2 Aspergillus fumigatus Af293 iron-sulfur cluster biosynthesis protein Isd11, putative (AFUA_3G06492), partial mRNA
>XM_749864.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06490), partial mRNA
>XM_749865.1 Aspergillus fumigatus Af293 histone-lysine N-methyltransferase (Ash1), putative (AFUA_3G06480), partial mRNA
>XM_749866.1 Aspergillus fumigatus Af293 palmitoyltransferase ERF2 (AFUA_3G06470), partial mRNA
>XM_749867.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06460), partial mRNA
>XM_749868.1 Aspergillus fumigatus Af293 protein mannosyltransferase 1 (AFUA_3G06450), partial mRNA
>XM_749869.1 Aspergillus fumigatus Af293 pre-mRNA splicing factor, putative (AFUA_3G06440), partial mRNA
>XM_749870.1 Aspergillus fumigatus Af293 guanine nucleotide exchange factor SEC2 (AFUA_3G06430), partial mRNA
>XM_749872.1 Aspergillus fumigatus Af293 ubiquinone biosynthesis protein COQ4 (AFUA_3G06410), partial mRNA
>XM_749873.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G06400), partial mRNA
>XM_749874.1 Aspergillus fumigatus Af293 2-dehydropantoate 2-reductase, putative (AFUA_3G06390), partial mRNA
>XM_749875.1 Aspergillus fumigatus Af293 exosome-associated family protein (AFUA_3G06380), partial mRNA
>XM_749876.1 Aspergillus fumigatus Af293 CHCH domain protein (AFUA_3G06370), partial mRNA
>XM_749877.1 Aspergillus fumigatus Af293 UBX domain protein (AFUA_3G06360), partial mRNA
>XM_749878.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G06350), partial mRNA
>XM_749879.1 Aspergillus fumigatus Af293 cytochrome oxidase assembly protein SHY1 (AFUA_3G06340), partial mRNA
>XM_749880.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06330), partial mRNA
>XM_749881.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06320), partial mRNA
>XM_749882.1 Aspergillus fumigatus Af293 RNA binding protein (AFUA_3G06310), partial mRNA
>XM_749883.1 Aspergillus fumigatus Af293 Rho GTPase Rac, putative (AFUA_3G06300), partial mRNA
>XM_749884.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_3G06290), partial mRNA
>XM_749885.1 Aspergillus fumigatus Af293 Rho GTPase activator (Rgd1), putative (AFUA_3G06280), partial mRNA
>XM_749886.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06270), partial mRNA
>XM_749887.1 Aspergillus fumigatus Af293 translation initiation factor eIF1 (AFUA_3G06260), partial mRNA
>XM_749888.2 Aspergillus fumigatus Af293 RNA polymerase II mediator complex component Srb8, putative (AFUA_3G06250), partial mRNA
>XM_749890.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06230), partial mRNA
>XM_749891.1 Aspergillus fumigatus Af293 complex I intermediate associated protein (Cia30), putative (AFUA_3G06220), partial mRNA
>XM_749892.1 Aspergillus fumigatus Af293 phosphoribosylaminoimidazolesuccinocarboxamide synthase (AFUA_3G06210), partial mRNA
>XM_749893.2 Aspergillus fumigatus Af293 anaphase-promoting complex subunit Apc5, putative (AFUA_3G06200), partial mRNA
>XM_749894.2 Aspergillus fumigatus Af293 cytochrome c oxidase subunit VIa (AFUA_3G06190), partial mRNA
>XM_749895.2 Aspergillus fumigatus Af293 DNA-(apurinic or apyrimidinic site) lyase APN2 (AFUA_3G06180), partial mRNA
>XM_749896.2 Aspergillus fumigatus Af293 mating type protein MAT1-2-1 (AFUA_3G06170), partial mRNA
>XM_749897.2 Aspergillus fumigatus Af293 mating locus protein, putative (AFUA_3G06160), partial mRNA
>XM_749898.1 Aspergillus fumigatus Af293 cytoskeleton assembly control protein Sla2, putative (AFUA_3G06140), partial mRNA
>XM_749900.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06130), partial mRNA
>XM_749901.1 Aspergillus fumigatus Af293 trans-hexaprenyltranstransferase (AFUA_3G06120), partial mRNA
>XM_749902.1 Aspergillus fumigatus Af293 proteasome regulatory particle lid subunit RPN3 (AFUA_3G06110), partial mRNA
>XM_749903.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06100), partial mRNA
>XM_749904.1 Aspergillus fumigatus Af293 transcription initiation factor TFIID subunit 12, putative (AFUA_3G06090), partial mRNA
>XM_749905.1 Aspergillus fumigatus Af293 1-phosphatidylinositol-4-phosphate 5-kinase (AFUA_3G06080), partial mRNA
>XM_749906.1 Aspergillus fumigatus Af293 histone H1 (AFUA_3G06070), partial mRNA
>XM_749907.1 Aspergillus fumigatus Af293 multifunctional nuclease RAD27 (AFUA_3G06060), partial mRNA
>XM_749908.1 Aspergillus fumigatus Af293 fungal specific transcription factor, putative (AFUA_3G06050), partial mRNA
>XM_749909.1 Aspergillus fumigatus Af293 glutaryl-CoA dehydrogenase, putative (AFUA_3G06040), partial mRNA
>XM_749910.1 Aspergillus fumigatus Af293 ubiquitin conjugating enzyme (UbcD), putative (AFUA_3G06030), partial mRNA
>XM_749911.1 Aspergillus fumigatus Af293 glyoxalase family protein (AFUA_3G06020), partial mRNA
>XM_749912.1 Aspergillus fumigatus Af293 18S rRNA pseudouridine methyltransferase (AFUA_3G06010), partial mRNA
>XM_749913.1 Aspergillus fumigatus Af293 sister chromatid cohesion acetyltransferase Eco1, putative (AFUA_3G06000), partial mRNA
>XM_749914.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05990), partial mRNA
>XM_749915.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05980), partial mRNA
>XM_749916.1 Aspergillus fumigatus Af293 translation initiation factor 2A (AFUA_3G05970), partial mRNA
>XM_749917.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05960), partial mRNA
>XM_749918.1 Aspergillus fumigatus Af293 anaphase promoting complex subunit 1 (AFUA_3G05950), partial mRNA
>XM_749919.1 Aspergillus fumigatus Af293 transcription factor Rba50, putative (AFUA_3G05940), partial mRNA
>XM_749920.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05910), partial mRNA
>XM_749921.1 Aspergillus fumigatus Af293 MAP kinase kinase Ste7 (AFUA_3G05900), partial mRNA
>XM_749922.1 Aspergillus fumigatus Af293 chromatin-remodeling histone chaperone SPT6 (AFUA_3G05890), partial mRNA
>XM_749923.2 Aspergillus fumigatus Af293 oxysterol-binding protein related protein OSH3 (AFUA_3G05880), partial mRNA
>XM_749924.1 Aspergillus fumigatus Af293 IFRD domain protein (AFUA_3G05870), partial mRNA
>XM_749925.1 Aspergillus fumigatus Af293 exosome non-catalytic core subunit RRP4 (AFUA_3G05860), partial mRNA
>XM_749926.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05850), partial mRNA
>XM_749927.1 Aspergillus fumigatus Af293 RNA binding protein Rnp24, putative (AFUA_3G05840), partial mRNA
>XM_749928.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05830), partial mRNA
>XM_749929.1 Aspergillus fumigatus Af293 ZZ type zinc finger domain protein (AFUA_3G05820), partial mRNA
>XM_749930.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G05810), partial mRNA
>XM_749931.1 Aspergillus fumigatus Af293 serum paraoxonase/arylesterase family protein (AFUA_3G05800), partial mRNA
>XM_749932.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G05790), partial mRNA
>XM_749933.1 Aspergillus fumigatus Af293 GATA transcription factor LreA (AFUA_3G05780), partial mRNA
>XM_749934.1 Aspergillus fumigatus Af293 RAS small monomeric GTPase, putative (AFUA_3G05770), partial mRNA
>XM_749935.1 Aspergillus fumigatus Af293 C6 transcription factor (Fcr1), putative (AFUA_3G05760), partial mRNA
>XM_749936.1 Aspergillus fumigatus Af293 aldose 1-epimerase, putative (AFUA_3G05740), partial mRNA
